iter	Passed	Remaining
908	72146	7222
909	72246	7145
910	72344	7067
911	72351	6981
912	72447	6903
913	72546	6826
914	72642	6748
915	72648	6662
916	72746	6584
917	72842	6506
918	72848	6420
919	72944	6343
920	72950	6257
921	73046	6179
922	73144	6102
923	73243	6024
924	73249	5939
925	73346	5861
926	73444	5783
927	73450	5698
928	73545	5620
929	73645	5543
930	73744	5465
931	73749	5380
932	73845	5302
933	73946	5225
934	74045	5147
935	74144	5069
936	74244	4991
937	74343	4913
938	74350	4830
939	74446	4751
940	74544	4673
941	74655	4596
942	74755	4518
943	74846	4440
944	74946	4361
945	75044	4283
946	75143	4205
947	75149	4122
948	75245	4043
949	75344	3965
950	75443	3887
951	75541	3808
952	75546	3725
953	75643	3647
954	75744	3569
955	75844	3490
956	75942	3412
957	75948	3329
958	76044	3251
959	76144	3172
960	76242	3094
961	76248	3011
962	76344	2933
963	76443	2854
964	76542	2776
965	76547	2694
966	76644	2615
967	76743	2536
968	76842	2458
969	76942	2379
970	77040	2300
971	77049	2219
972	77145	2140
973	77242	2061
974	77260	1981
975	77345	1901
976	77443	1823
977	77542	1744
978	77643	1665
979	77743	1586
980	77839	1507
981	77942	1428
982	78041	1349
983	78047	1269
984	78142	1189
985	78242	1110
986	78259	1030
987	78342	951
988	78444	872
989	78542	793
990	78642	714
991	78739	634
992	78745	555
993	78843	475
994	78941	396
995	79041	317
996	79141	238
997	79240	158
998	79344	79
999	79539	0
